Date,Open,High,Low,Close,Adj Close,Volume
2009-05-20,3.260000,3.420000,3.200000,3.420000,3.153448,44800
2009-05-21,3.360000,3.580000,3.230000,3.240000,2.987477,83400
2009-05-22,3.200000,3.450000,3.200000,3.290000,3.033580,22400
2009-05-26,3.200000,3.400000,3.200000,3.290000,3.033580,16000
2009-05-27,3.260000,3.380000,3.260000,3.270000,3.015139,17200
2009-05-28,3.290000,3.390000,3.270000,3.290000,3.033580,22200
2009-05-29,3.210000,3.630000,3.210000,3.630000,3.347080,161100
2009-06-01,3.640000,3.720000,3.590000,3.720000,3.430067,38300
2009-06-02,3.640000,3.830000,3.440000,3.830000,3.531493,56100
2009-06-03,3.740000,3.930000,3.740000,3.920000,3.614478,26400
2009-06-04,3.870000,4.110000,3.870000,4.030000,3.715905,53500
2009-06-05,4.100000,4.100000,3.920000,4.010000,3.697464,25500
2009-06-08,3.900000,3.990000,3.760000,3.810000,3.513052,44500
2009-06-09,3.780000,3.780000,3.540000,3.690000,3.402405,72200
2009-06-10,3.690000,3.790000,3.630000,3.750000,3.457727,18500
2009-06-11,3.810000,3.920000,3.750000,3.920000,3.614478,27100
2009-06-12,3.900000,3.970000,3.610000,3.680000,3.393183,36900
2009-06-15,3.700000,3.700000,3.510000,3.700000,3.411624,30800
2009-06-16,3.700000,3.700000,3.620000,3.640000,3.356301,16100
2009-06-17,3.570000,3.700000,3.550000,3.650000,3.365521,20400
2009-06-18,3.590000,3.760000,3.590000,3.620000,3.337860,8700
2009-06-19,3.670000,3.790000,3.670000,3.730000,3.439286,10200
2009-06-22,3.610000,3.640000,3.010000,3.320000,3.061242,88200
2009-06-23,3.290000,3.460000,3.210000,3.280000,3.024359,39300
2009-06-24,3.260000,3.350000,3.250000,3.300000,3.042800,13400
2009-06-25,3.260000,3.320000,3.220000,3.220000,2.969036,27000
2009-06-26,3.150000,3.220000,2.980000,3.130000,2.886050,22700
2009-06-29,3.060000,3.340000,3.020000,3.320000,3.061242,65300
2009-06-30,3.390000,3.570000,3.380000,3.570000,3.291757,80400
2009-07-01,3.540000,3.570000,3.280000,3.460000,3.190331,36800
2009-07-02,3.400000,3.420000,3.270000,3.310000,3.052022,46000
2009-07-06,3.220000,3.280000,3.090000,3.180000,2.932153,35200
2009-07-07,3.140000,3.370000,3.140000,3.330000,3.070462,27300
2009-07-08,3.300000,3.330000,3.140000,3.190000,2.941374,26300
2009-07-09,3.160000,3.240000,3.050000,3.190000,2.941374,29100
2009-07-10,3.180000,3.280000,3.090000,3.110000,2.867609,21900
2009-07-13,2.620000,3.120000,2.620000,3.110000,2.867609,35200
2009-07-14,3.060000,3.180000,3.040000,3.110000,2.867609,13200
2009-07-15,3.040000,3.280000,3.040000,3.280000,3.024359,62400
2009-07-16,3.320000,3.470000,3.150000,3.300000,3.042800,38600
2009-07-17,3.170000,3.330000,3.170000,3.230000,2.978256,12700
2009-07-20,3.150000,3.290000,3.150000,3.250000,2.996698,10900
2009-07-21,3.250000,3.280000,3.160000,3.180000,2.932153,9700
2009-07-22,3.210000,3.410000,3.180000,3.290000,3.033580,29600
2009-07-23,3.260000,3.480000,3.260000,3.390000,3.125786,21100
2009-07-24,3.410000,3.540000,3.320000,3.340000,3.079682,49500
2009-07-27,3.350000,3.490000,3.270000,3.350000,3.088903,25700
2009-07-28,3.280000,3.320000,3.180000,3.200000,2.950594,12000
2009-07-29,3.210000,3.330000,3.200000,3.310000,3.052022,14100
2009-07-30,3.300000,3.330000,3.200000,3.270000,3.015139,20200
2009-07-31,3.550000,3.790000,3.550000,3.650000,3.365521,114700
2009-08-03,3.680000,3.710000,3.620000,3.690000,3.402405,33800
2009-08-04,3.620000,3.800000,3.550000,3.600000,3.319418,26500
2009-08-05,3.600000,3.690000,3.600000,3.690000,3.402405,4500
2009-08-06,3.690000,3.790000,3.670000,3.790000,3.494610,20300
2009-08-07,3.750000,3.990000,3.710000,3.990000,3.679023,35300
2009-08-10,3.980000,4.090000,3.980000,4.010000,3.697464,53300
2009-08-11,3.950000,4.080000,3.950000,4.040000,3.725125,13500
2009-08-12,4.040000,4.070000,3.910000,4.000000,3.688243,15500
2009-08-13,4.010000,4.020000,3.900000,4.000000,3.688243,17900
2009-08-14,4.040000,4.040000,4.000000,4.010000,3.697464,7100
2009-08-17,3.950000,4.010000,3.950000,3.960000,3.651361,11500
2009-08-18,3.910000,4.230000,3.910000,4.230000,3.900317,26800
2009-08-19,4.220000,4.230000,4.070000,4.130000,3.808111,9800
2009-08-20,4.130000,4.130000,4.020000,4.080000,3.762007,7800
2009-08-21,3.700000,4.190000,3.700000,4.060000,3.743567,34100
2009-08-24,4.130000,4.130000,3.900000,4.000000,3.688243,17900
2009-08-25,3.920000,4.050000,3.900000,3.930000,3.623698,19500
2009-08-26,3.950000,4.020000,3.910000,4.000000,3.688243,10600
2009-08-27,3.950000,4.130000,3.900000,4.100000,3.780450,23600
2009-08-28,4.200000,4.200000,4.000000,4.090000,3.771228,57100
2009-08-31,4.000000,4.090000,4.000000,4.090000,3.771228,10600
2009-09-01,4.020000,4.020000,3.910000,3.940000,3.632920,95800
2009-09-02,3.940000,3.960000,3.900000,3.930000,3.623698,6900
2009-09-03,3.940000,4.000000,3.930000,4.000000,3.688243,16200
2009-09-04,4.000000,4.030000,3.990000,4.000000,3.688243,9800
2009-09-08,4.080000,4.090000,4.000000,4.030000,3.715905,8900
2009-09-09,4.070000,4.070000,3.990000,4.030000,3.715905,28500
2009-09-10,4.040000,4.040000,4.000000,4.000000,3.688243,10000
2009-09-11,4.020000,4.030000,3.980000,4.000000,3.688243,17400
2009-09-14,3.990000,4.020000,3.910000,3.940000,3.632920,23700
2009-09-15,3.830000,4.040000,3.830000,4.030000,3.715905,21600
2009-09-16,4.080000,4.080000,3.960000,3.980000,3.669801,25400
2009-09-17,3.950000,4.040000,3.920000,4.040000,3.725125,18800
2009-09-18,4.050000,4.180000,3.920000,3.920000,3.614478,59700
2009-09-21,4.030000,4.030000,3.960000,3.980000,3.669801,14100
2009-09-22,3.960000,4.090000,3.910000,4.060000,3.743567,11100
2009-09-23,4.100000,4.150000,4.000000,4.000000,3.688243,21300
2009-09-24,4.000000,4.120000,3.930000,3.940000,3.632920,14800
2009-09-25,3.950000,4.010000,3.920000,3.950000,3.642140,13100
2009-09-28,3.920000,4.030000,3.920000,3.980000,3.669801,9500
2009-09-29,3.970000,3.970000,3.910000,3.950000,3.642140,32400
2009-09-30,3.940000,3.960000,3.900000,3.900000,3.596037,24300
2009-10-01,3.900000,3.990000,3.870000,3.870000,3.568375,36800
2009-10-02,3.870000,3.920000,3.700000,3.850000,3.549934,30300
2009-10-05,3.860000,3.900000,3.760000,3.860000,3.559155,9100
2009-10-06,3.790000,4.000000,3.790000,3.980000,3.669801,33800
2009-10-07,4.000000,4.070000,3.970000,3.990000,3.679023,16600
2009-10-08,4.030000,4.140000,3.970000,3.990000,3.679023,34900
2009-10-09,3.940000,4.090000,3.940000,4.000000,3.688243,12600
2009-10-12,4.050000,4.110000,3.950000,4.060000,3.743567,22700
2009-10-13,4.040000,4.090000,4.000000,4.030000,3.715905,9800
2009-10-14,4.040000,4.090000,3.990000,4.010000,3.697464,12300
2009-10-15,4.060000,4.120000,3.980000,4.060000,3.743567,27100
2009-10-16,4.090000,4.490000,4.080000,4.300000,3.964861,49900
2009-10-19,4.200000,4.460000,4.200000,4.370000,4.029406,32600
2009-10-20,4.340000,4.490000,4.340000,4.470000,4.121612,11000
2009-10-21,4.470000,4.590000,4.250000,4.250000,3.918757,21500
2009-10-22,4.290000,4.440000,4.290000,4.430000,4.084730,16500
2009-10-23,4.340000,4.450000,4.340000,4.420000,4.075509,7000
2009-10-26,4.410000,4.480000,4.260000,4.460000,4.112390,31900
2009-10-27,4.410000,4.520000,4.410000,4.460000,4.112390,14700
2009-10-28,4.350000,4.530000,4.350000,4.420000,4.075509,2600
2009-10-29,4.550000,4.550000,3.950000,4.010000,3.697464,95300
2009-10-30,4.040000,4.190000,3.750000,3.800000,3.503831,47200
2009-11-02,3.050000,3.800000,3.050000,3.800000,3.503831,50700
2009-11-03,3.850000,3.970000,3.850000,3.950000,3.642140,22400
2009-11-04,4.060000,4.250000,4.030000,4.080000,3.762007,58200
2009-11-05,4.160000,4.450000,4.100000,4.450000,4.103170,64200
2009-11-06,4.360000,4.380000,4.140000,4.210000,3.881875,45900
2009-11-09,4.160000,4.440000,4.160000,4.340000,4.001744,27300
2009-11-10,4.290000,4.380000,4.120000,4.120000,3.798889,19800
2009-11-11,4.180000,4.240000,4.180000,4.200000,3.872654,7100
2009-11-12,4.250000,4.300000,4.180000,4.300000,3.964861,10500
2009-11-13,4.250000,4.250000,4.120000,4.120000,3.798889,41700
2009-11-16,4.130000,4.160000,3.710000,3.900000,3.596037,66800
2009-11-17,3.930000,4.060000,3.900000,3.990000,3.679023,19700
2009-11-18,4.030000,4.090000,3.980000,4.020000,3.706684,11900
2009-11-19,3.950000,4.000000,3.870000,3.930000,3.623698,13600
2009-11-20,3.950000,3.950000,3.790000,3.910000,3.605258,19200
2009-11-23,3.890000,4.000000,3.750000,3.750000,3.457727,10100
2009-11-24,3.800000,3.870000,3.800000,3.820000,3.522272,16200
2009-11-25,3.760000,4.040000,3.760000,3.990000,3.679023,12400
2009-11-27,3.780000,3.970000,3.780000,3.930000,3.623698,8900
2009-11-30,3.960000,3.990000,3.850000,3.990000,3.679023,15900
2009-12-01,3.950000,4.100000,3.890000,4.020000,3.706684,27200
2009-12-02,4.020000,4.060000,3.930000,3.930000,3.623698,15600
2009-12-03,3.940000,4.100000,3.940000,3.940000,3.632920,43900
2009-12-04,3.900000,4.050000,3.900000,3.970000,3.660582,14100
2009-12-07,3.930000,4.110000,3.930000,3.990000,3.679023,19400
2009-12-08,3.870000,4.040000,3.850000,3.940000,3.632920,20800
2009-12-09,3.910000,3.940000,3.820000,3.850000,3.549934,59300
2009-12-10,3.890000,3.940000,3.800000,3.800000,3.503831,23700
2009-12-11,3.820000,3.940000,3.460000,3.710000,3.420845,105900
2009-12-14,3.720000,3.760000,3.560000,3.560000,3.282536,60800
2009-12-15,3.540000,3.750000,3.540000,3.660000,3.374743,32200
2009-12-16,3.700000,3.900000,3.700000,3.890000,3.586816,33100
2009-12-17,3.940000,3.980000,3.870000,3.900000,3.596037,18800
2009-12-18,3.920000,4.090000,3.860000,4.080000,3.762007,26400
2009-12-21,4.020000,4.070000,3.890000,3.890000,3.586816,24000
2009-12-22,3.890000,3.980000,3.890000,3.900000,3.596037,9000
2009-12-23,3.940000,3.980000,3.900000,3.910000,3.605258,14300
2009-12-24,3.900000,3.910000,3.760000,3.870000,3.568375,6300
2009-12-28,3.930000,3.930000,3.890000,3.930000,3.623698,10300
2009-12-29,3.930000,3.970000,3.890000,3.940000,3.632920,12400
2009-12-30,3.930000,3.960000,3.900000,3.910000,3.605258,5600
2009-12-31,3.940000,3.940000,3.900000,3.930000,3.623698,6700
2010-01-04,3.890000,3.990000,3.890000,3.960000,3.651361,12100
2010-01-05,3.900000,4.060000,3.880000,3.940000,3.632920,41600
2010-01-06,3.890000,3.920000,3.820000,3.920000,3.614478,11500
2010-01-07,3.960000,4.040000,3.930000,4.040000,3.725125,33700
2010-01-08,4.090000,4.120000,3.980000,3.980000,3.669801,13200
2010-01-11,3.970000,3.990000,3.930000,3.930000,3.623698,9200
2010-01-12,3.930000,3.930000,3.820000,3.850000,3.549934,18100
2010-01-13,3.880000,3.950000,3.850000,3.880000,3.577595,44100
2010-01-14,3.870000,3.950000,3.840000,3.950000,3.642140,19000
2010-01-15,3.930000,3.950000,3.880000,3.950000,3.642140,8100
2010-01-19,3.890000,3.990000,3.890000,3.910000,3.605258,16300
2010-01-20,3.940000,3.940000,3.900000,3.900000,3.596037,5000
2010-01-21,3.930000,3.950000,3.740000,3.800000,3.503831,41900
2010-01-22,3.810000,3.900000,3.700000,3.880000,3.577595,10400
2010-01-25,3.840000,3.870000,3.800000,3.830000,3.531493,48200
2010-01-26,3.780000,3.870000,3.780000,3.850000,3.549934,6900
2010-01-27,3.850000,3.880000,3.850000,3.850000,3.549934,5800
2010-01-28,3.800000,3.950000,3.800000,3.950000,3.642140,7500
2010-01-29,3.900000,3.950000,3.830000,3.850000,3.549934,9700
2010-02-01,3.860000,3.880000,3.780000,3.850000,3.549934,2300
2010-02-02,3.850000,3.880000,3.790000,3.850000,3.549934,8200
2010-02-03,3.840000,3.910000,3.840000,3.850000,3.549934,4100
2010-02-04,3.810000,3.900000,3.770000,3.780000,3.485390,27800
2010-02-05,3.750000,3.810000,3.750000,3.800000,3.503831,11500
2010-02-08,3.780000,3.810000,3.750000,3.800000,3.503831,5300
2010-02-09,3.750000,3.830000,3.560000,3.790000,3.494610,8900
2010-02-10,3.790000,3.790000,3.790000,3.790000,3.494610,0
2010-02-11,3.780000,3.820000,3.770000,3.820000,3.522272,1900
2010-02-12,3.810000,3.810000,3.770000,3.770000,3.476169,2400
2010-02-16,3.760000,3.880000,3.760000,3.880000,3.577595,8300
2010-02-17,3.820000,3.930000,3.750000,3.850000,3.549934,13300
2010-02-18,4.200000,4.540000,4.150000,4.380000,4.038626,85300
2010-02-19,4.320000,4.430000,4.270000,4.350000,4.010963,25200
2010-02-22,4.370000,4.480000,4.170000,4.280000,3.946418,24800
2010-02-23,4.340000,4.390000,4.060000,4.100000,3.780450,20100
2010-02-24,4.060000,4.110000,3.890000,4.060000,3.743567,24500
2010-02-25,3.870000,4.070000,3.840000,3.910000,3.605258,124900
2010-02-26,3.900000,4.050000,3.900000,4.040000,3.725125,44600
2010-03-01,4.070000,4.140000,3.950000,4.050000,3.734345,31900
2010-03-02,3.980000,4.200000,3.980000,4.130000,3.808111,21900
2010-03-03,4.080000,4.240000,4.000000,4.230000,3.900317,17400
2010-03-04,4.150000,4.220000,4.150000,4.190000,3.863435,14400
2010-03-05,4.230000,4.250000,4.110000,4.250000,3.918757,25100
2010-03-08,4.250000,4.300000,4.120000,4.290000,3.955641,28300
2010-03-09,4.240000,4.340000,4.220000,4.270000,3.937200,55000
2010-03-10,4.300000,4.300000,4.110000,4.300000,3.964861,26300
2010-03-11,4.300000,4.360000,4.220000,4.320000,3.983302,50500
2010-03-12,4.300000,4.340000,4.240000,4.300000,3.964861,40100
2010-03-15,4.330000,4.340000,4.240000,4.300000,3.964861,30600
2010-03-16,4.330000,4.340000,4.250000,4.310000,3.974082,59500
2010-03-17,4.270000,4.340000,4.250000,4.310000,3.974082,77300
2010-03-18,4.310000,4.410000,4.300000,4.380000,4.038626,17900
2010-03-19,4.280000,4.400000,4.280000,4.280000,3.946418,52400
2010-03-22,4.270000,4.540000,4.220000,4.460000,4.112390,19900
2010-03-23,4.460000,4.460000,4.360000,4.450000,4.103170,13300
2010-03-24,4.440000,4.520000,4.360000,4.470000,4.121612,22400
2010-03-25,4.550000,4.590000,4.430000,4.430000,4.084730,24800
2010-03-26,4.390000,4.570000,4.390000,4.400000,4.057067,32500
2010-03-29,4.500000,4.530000,4.470000,4.490000,4.140053,19100
2010-03-30,4.500000,4.650000,4.450000,4.590000,4.232258,19000
2010-03-31,4.590000,4.650000,4.550000,4.600000,4.241478,17300
2010-04-01,4.650000,4.700000,4.610000,4.650000,4.287583,30800
2010-04-05,4.730000,4.850000,4.690000,4.830000,4.453554,29400
2010-04-06,4.860000,4.900000,4.840000,4.850000,4.471993,42700
2010-04-07,4.870000,4.960000,4.770000,4.910000,4.527318,19900
2010-04-08,4.930000,4.970000,4.870000,4.950000,4.564199,27200
2010-04-09,4.890000,4.960000,4.560000,4.890000,4.508877,54900
2010-04-12,4.890000,4.900000,4.840000,4.850000,4.471993,14400
2010-04-13,4.880000,4.960000,4.720000,4.960000,4.573421,22300
2010-04-14,4.930000,5.180000,4.900000,5.030000,4.637967,38600
2010-04-15,4.920000,5.090000,4.900000,5.010000,4.619524,15100
2010-04-16,5.000000,5.070000,4.970000,5.020000,4.628745,28000
2010-04-19,5.000000,5.020000,4.900000,5.000000,4.610303,24400
2010-04-20,5.030000,5.150000,5.000000,5.050000,4.656407,33300
2010-04-21,5.010000,5.090000,4.960000,5.030000,4.637967,4100
2010-04-22,5.000000,5.090000,4.980000,5.070000,4.674848,18800
2010-04-23,5.050000,5.100000,5.030000,5.090000,4.693289,4100
2010-04-26,5.130000,5.130000,5.050000,5.060000,4.665627,14300
2010-04-27,5.000000,5.000000,4.700000,4.980000,4.591865,67800
2010-04-28,5.000000,5.000000,4.910000,4.930000,4.545760,5800
2010-04-29,4.870000,4.990000,4.870000,4.990000,4.601083,22000
2010-04-30,5.000000,5.000000,4.960000,4.970000,4.582642,11500
2010-05-03,5.000000,5.000000,4.870000,4.960000,4.573421,34900
2010-05-04,4.910000,4.980000,4.840000,4.840000,4.462775,16900
2010-05-05,4.820000,4.980000,4.790000,4.950000,4.564199,15900
2010-05-06,4.960000,5.000000,4.630000,4.920000,4.536539,38600
